Gender,Year,Branch,CGPA,Sleep_Hours,Screen_Time,Exercise_Freq,Diet_Quality,Study_Hours,Stress_Factors,GAD_Nervous,GAD_Irritable,Coping_Method,Counsellor_Need,Overall_Stress,College_Support,Programme,College Type
Female,1st Yr,MSME,Above 9.0,6 - 8 hours,1 - 3 hours,1 - 2 times a week,Very poor (mostly junk/irregular),2 - 4 hours,"Attendance pressure, Career and placement anxiety, Family expectations",2,3,"Talking to friends or family, Listening to music / watching content, Sleeping it off, Ignoring/avoiding the issue",No,4,"Yes, very much",B.Tech,IIT
Male,2nd Yr,CSE / IT,6.0 - 7.0,6 - 8 hours,3 - 5 hours,Daily,Average,Less than 2 hours,"Exams and assignments, Career and placement anxiety, Lack of interest in course",1,1,"Exercise or sports, Sleeping it off, Ignoring/avoiding the issue",No,7,Somewhat,B.Tech,IIT
Male,2nd Yr,DSAI,8.0 - 9.0,6 - 8 hours,More than 5 hours,3 - 4 times a week,Good,2 - 4 hours,"Exams and assignments, Attendance pressure, Lack of interest in course",3,3,"Listening to music / watching content, Exercise or sports, Sleeping it off, Ignoring/avoiding the issue","Yes, and I did seek help",9,Somewhat,B.Tech,IIT
Male,2nd Yr,CSE / IT,8.0 - 9.0,4 - 6 hours,1 - 3 hours,Daily,Very good (balanced meals),Less than 2 hours,"Exams and assignments, Peer comparison / competition, Career and placement anxiety, Financial pressure, Lack of interest in course",3,3,"Talking to friends or family, Listening to music / watching content, Ignoring/avoiding the issue",No,9,Somewhat,B.Tech,IIT
Male,2nd Yr,CSE / IT,8.0 - 9.0,6 - 8 hours,3 - 5 hours,1 - 2 times a week,Average,Less than 2 hours,"Exams and assignments, Peer comparison / competition, Career and placement anxiety, Financial pressure",2,2,"Talking to friends or family, Exercise or sports, Ignoring/avoiding the issue, don't have a coping mechanism","Yes, but I did not seek help",8,Somewhat,B.Tech,IIT
Male,3rd Yr,DSAI,8.0 - 9.0,6 - 8 hours,3 - 5 hours,1 - 2 times a week,Poor,2 - 4 hours,Lack of interest in course,4,4,"Ignoring/avoiding the issue, don't have a coping mechanism","Yes, but I did not seek help",8,"No, not really",B.Tech,IIT
Male,2nd Yr,DSAI,7.0 - 8.0,6 - 8 hours,3 - 5 hours,1 - 2 times a week,Poor,2 - 4 hours,"Exams and assignments, Attendance pressure, Peer comparison / competition",2,1,"Talking to friends or family, Listening to music / watching content, Sleeping it off",No,5,Somewhat,B.Tech,IIT
Male,2nd Yr,CSE / IT,Above 9.0,6 - 8 hours,More than 5 hours,Never,Very poor (mostly junk/irregular),Less than 2 hours,"Exams and assignments, Peer comparison / competition, Career and placement anxiety, Family expectations, Lack of interest in course",3,4,"Listening to music / watching content, Sleeping it off, don't have a coping mechanism",No,10,I'm not aware of any support available,B.Tech,IIT
Male,2nd Yr,CSE / IT,7.0 - 8.0,6 - 8 hours,1 - 3 hours,1 - 2 times a week,Poor,Less than 2 hours,"Exams and assignments, Attendance pressure, Career and placement anxiety, Family expectations",2,2,"Talking to friends or family, Listening to music / watching content",No,4,"No, not really",B.Tech,IIT
Male,2nd Yr,DSAI,Above 9.0,6 - 8 hours,More than 5 hours,1 - 2 times a week,Very poor (mostly junk/irregular),2 - 4 hours,"Peer comparison / competition, Career and placement anxiety",3,2,Listening to music / watching content,No,1,"No, not really",B.Tech,IIT
Female,3rd Yr,DSAI,Above 9.0,6 - 8 hours,More than 5 hours,1 - 2 times a week,Average,2 - 4 hours,"Exams and assignments, Peer comparison / competition, Career and placement anxiety, Lack of interest in course",3,2,"Sleeping it off, Ignoring/avoiding the issue, don't have a coping mechanism","Yes, but I did not seek help",4,Somewhat,B.Tech,IIT
Male,2nd Yr,CSE / IT,Above 9.0,6 - 8 hours,1 - 3 hours,3 - 4 times a week,Good,2 - 4 hours,Exams and assignments,3,2,"Listening to music / watching content, Ignoring/avoiding the issue","Yes, but I did not seek help",8,I'm not aware of any support available,B.Tech,IIT
Female,2nd Yr,EE,7.0 - 8.0,4 - 6 hours,More than 5 hours,1 - 2 times a week,Poor,4 - 6 hours,"Exams and assignments, Peer comparison / competition, Career and placement anxiety, Financial pressure",3,3,"Listening to music / watching content, Sleeping it off","Yes, but I did not seek help",7,Somewhat,B.Tech,IIT
Female,2nd Yr,DSAI,Above 9.0,6 - 8 hours,More than 5 hours,Daily,Good,2 - 4 hours,"Exams and assignments, Peer comparison / competition, Career and placement anxiety",2,2,"Talking to friends or family, Listening to music / watching content, Exercise or sports, Journaling or creative outlets","Yes, but I did not seek help",6,Somewhat,B.Tech,IIT
Male,2nd Yr,DSAI,7.0 - 8.0,6 - 8 hours,1 - 3 hours,1 - 2 times a week,Very poor (mostly junk/irregular),Less than 2 hours,"Exams and assignments, Attendance pressure, Lack of interest in course",3,2,"Talking to friends or family, Journaling or creative outlets",No,6,"No, not really",B.Tech,IIT
Female,2nd Yr,DSAI,8.0 - 9.0,6 - 8 hours,More than 5 hours,Never,Average,4 - 6 hours,"Exams and assignments, Peer comparison / competition, Career and placement anxiety",3,4,"Talking to friends or family, Listening to music / watching content, Sleeping it off","Yes, and I did seek help",7,Somewhat,B.Tech,IIT
Female,2nd Yr,DSAI,Below 6.0,More than 8 hours,Less than 1 hour,Daily,Very good (balanced meals),Less than 2 hours,"Exams and assignments, Attendance pressure, Peer comparison / competition, Career and placement anxiety, Financial pressure, Family expectations, Lack of interest in course",1,1,Ignoring/avoiding the issue,No,1,I'm not aware of any support available,B.Tech,IIT
Male,2nd Yr,DSAI,7.0 - 8.0,6 - 8 hours,More than 5 hours,Never,Average,Less than 2 hours,"Exams and assignments, Attendance pressure, Peer comparison / competition, Career and placement anxiety, Family expectations",2,3,"Listening to music / watching content, Ignoring/avoiding the issue, Journaling or creative outlets",No,8,Somewhat,B.Tech,IIT
Female,2nd Yr,DSAI,Below 6.0,4 - 6 hours,More than 5 hours,1 - 2 times a week,Poor,4 - 6 hours,"Exams and assignments, Attendance pressure, Peer comparison / competition, Career and placement anxiety, Financial pressure, Family expectations, Lack of interest in course",4,4,"Talking to friends or family, Sleeping it off, don't have a coping mechanism","Yes, but I did not seek help",10,I'm not aware of any support available,B.Tech,IIT
Male,2nd Yr,DSAI,6.0 - 7.0,4 - 6 hours,1 - 3 hours,Daily,Average,2 - 4 hours,"Exams and assignments, Peer comparison / competition, Career and placement anxiety, Financial pressure, Family expectations",2,2,"Talking to friends or family, Listening to music / watching content, Exercise or sports",No,7,"Yes, very much",B.Tech,IIT
Female,2nd Yr,DSAI,7.0 - 8.0,More than 8 hours,More than 5 hours,1 - 2 times a week,Average,Less than 2 hours,Lack of interest in course,2,1,"Talking to friends or family, Listening to music / watching content",No,3,Somewhat,B.Tech,IIT
Male,2nd Yr,DSAI,Above 9.0,More than 8 hours,Less than 1 hour,Daily,Very good (balanced meals),Less than 2 hours,Lack of interest in course,1,1,don't have a coping mechanism,No,1,"Yes, very much",B.Tech,IIT
Male,2nd Yr,DSAI,7.0 - 8.0,6 - 8 hours,3 - 5 hours,1 - 2 times a week,Poor,Less than 2 hours,Lack of interest in course,3,4,"Listening to music / watching content, Ignoring/avoiding the issue",No,8,"No, not really",B.Tech,IIT
Male,2nd Yr,DSAI,6.0 - 7.0,Less than 4 hours,More than 5 hours,Daily,Average,2 - 4 hours,Career and placement anxiety,3,2,Exercise or sports,No,8,I'm not aware of any support available,B.Tech,IIT
Male,2nd Yr,DSAI,7.0 - 8.0,6 - 8 hours,3 - 5 hours,1 - 2 times a week,Average,Less than 2 hours,"Exams and assignments, Career and placement anxiety, Family expectations, Lack of interest in course",3,3,"Listening to music / watching content, Sleeping it off, Ignoring/avoiding the issue","Yes, but I did not seek help",6,"No, not really",B.Tech,IIT
Male,2nd Yr,DSAI,6.0 - 7.0,More than 8 hours,More than 5 hours,Daily,Average,Less than 2 hours,"Exams and assignments, Attendance pressure, Peer comparison / competition, Career and placement anxiety, Financial pressure, Family expectations, Lack of interest in course",1,1,"Listening to music / watching content, Sleeping it off, Ignoring/avoiding the issue",No,5,I'm not aware of any support available,B.Tech,IIT
Male,4th Yr,DSAI,Above 9.0,4 - 6 hours,3 - 5 hours,Never,Poor,Less than 2 hours,"Attendance pressure, Financial pressure, Family expectations",2,1,"Listening to music / watching content, Exercise or sports",No,3,"Yes, very much",B.Tech,IIT
Male,2nd Yr,MSME,Above 9.0,4 - 6 hours,Less than 1 hour,1 - 2 times a week,Average,More than 6 hours,Attendance pressure,1,1,"Talking to friends or family, Listening to music / watching content, Sleeping it off",No,3,Somewhat,B.Tech,IIT
Female,2nd Yr,CSE / IT,7.0 - 8.0,More than 8 hours,More than 5 hours,Never,Good,2 - 4 hours,"Exams and assignments, Peer comparison / competition, Family expectations, Lack of interest in course",3,4,"Talking to friends or family, Sleeping it off, Ignoring/avoiding the issue",No,7,"Yes, very much",B.Tech,IIT
Female,2nd Yr,CSE / IT,Below 6.0,Less than 4 hours,Less than 1 hour,Never,Very poor (mostly junk/irregular),Less than 2 hours,"Exams and assignments, Attendance pressure, Peer comparison / competition, Career and placement anxiety, Financial pressure, Family expectations, Lack of interest in course",1,1,"Talking to friends or family, Listening to music / watching content, Exercise or sports, Sleeping it off, Ignoring/avoiding the issue, Journaling or creative outlets, don't have a coping mechanism",No,10,"No, not really",B.Tech,IIT
Male,2nd Yr,CSE / IT,7.0 - 8.0,Less than 4 hours,1 - 3 hours,3 - 4 times a week,Average,2 - 4 hours,"Exams and assignments, Attendance pressure, Peer comparison / competition, Career and placement anxiety, Financial pressure, Family expectations",4,4,"Talking to friends or family, Listening to music / watching content, Exercise or sports, Sleeping it off",No,10,Somewhat,B.Tech,IIT
Male,2nd Yr,CSE / IT,Above 9.0,Less than 4 hours,More than 5 hours,Never,Very good (balanced meals),More than 6 hours,"Exams and assignments, Attendance pressure, Peer comparison / competition, Career and placement anxiety, Financial pressure, Family expectations, Lack of interest in course",2,1,"Talking to friends or family, Listening to music / watching content, Ignoring/avoiding the issue, don't have a coping mechanism",No,2,I'm not aware of any support available,B.Tech,IIT
Male,3rd Yr,EE,8.0 - 9.0,6 - 8 hours,3 - 5 hours,1 - 2 times a week,Average,Less than 2 hours,"Career and placement anxiety, Lack of interest in course",1,1,"Talking to friends or family, Listening to music / watching content, Sleeping it off",No,3,I'm not aware of any support available,B.Tech,IIT
Male,2nd Yr,CSE / IT,7.0 - 8.0,6 - 8 hours,3 - 5 hours,Daily,Very good (balanced meals),2 - 4 hours,Lack of interest in course,1,1,Journaling or creative outlets,No,2,Somewhat,B.Tech,IIT
Male,2nd Yr,DSAI,8.0 - 9.0,More than 8 hours,More than 5 hours,Daily,Average,More than 6 hours,Attendance pressure,1,1,"Listening to music / watching content, Exercise or sports","Yes, and I did seek help",3,"Yes, very much",B.Tech,IIT
Female,4th Yr,Other,Below 6.0,More than 8 hours,More than 5 hours,Daily,Very good (balanced meals),More than 6 hours,"Exams and assignments, Attendance pressure, Peer comparison / competition, Career and placement anxiety, Financial pressure, Family expectations, Lack of interest in course",4,4,"Talking to friends or family, Listening to music / watching content, Exercise or sports, Sleeping it off, Ignoring/avoiding the issue, Journaling or creative outlets, don't have a coping mechanism",No,10,I'm not aware of any support available,B.Tech,IIT
Male,2nd Yr,DSAI,8.0 - 9.0,6 - 8 hours,More than 5 hours,Never,Poor,Less than 2 hours,"Exams and assignments, Attendance pressure, Peer comparison / competition, Career and placement anxiety, Financial pressure, Family expectations, Lack of interest in course",2,2,"Talking to friends or family, Listening to music / watching content, Exercise or sports, Sleeping it off, Ignoring/avoiding the issue",No,6,Somewhat,B.Tech,IIT
Female,2nd Yr,CSE / IT,8.0 - 9.0,6 - 8 hours,More than 5 hours,Daily,Poor,More than 6 hours,"Career and placement anxiety, Financial pressure, Lack of interest in course",1,1,"Exercise or sports, Ignoring/avoiding the issue",No,3,"No, not really",B.Tech,IIT
Male,2nd Yr,DSAI,8.0 - 9.0,6 - 8 hours,More than 5 hours,Never,Good,Less than 2 hours,"Exams and assignments, Attendance pressure, Peer comparison / competition, Career and placement anxiety, Lack of interest in course",1,2,"Listening to music / watching content, Sleeping it off",No,3,"Yes, very much",B.Tech,IIT
Female,4th Yr,Other,Above 9.0,Less than 4 hours,Less than 1 hour,Never,Very poor (mostly junk/irregular),4 - 6 hours,"Exams and assignments, Attendance pressure, Peer comparison / competition, Lack of interest in course",1,1,Journaling or creative outlets,No,1,"No, not really",B.Tech,IIT
Male,2nd Yr,CSE / IT,Above 9.0,More than 8 hours,3 - 5 hours,Never,Poor,4 - 6 hours,Lack of interest in course,1,1,Listening to music / watching content,No,1,Somewhat,B.Tech,IIT
Male,2nd Yr,ME,8.0 - 9.0,6 - 8 hours,3 - 5 hours,Daily,Good,Less than 2 hours,"Exams and assignments, Attendance pressure, Career and placement anxiety, Family expectations, Lack of interest in course",1,1,"Listening to music / watching content, Exercise or sports, Ignoring/avoiding the issue, Journaling or creative outlets","Yes, and I did seek help",7,"Yes, very much",B.Tech,IIT
Male,2nd Yr,EE,8.0 - 9.0,More than 8 hours,More than 5 hours,Never,Poor,Less than 2 hours,"Exams and assignments, Attendance pressure, Peer comparison / competition, Career and placement anxiety, Financial pressure, Family expectations, Lack of interest in course",4,4,"Sleeping it off, Ignoring/avoiding the issue",No,10,"No, not really",B.Tech,IIT
Male,2nd Yr,CSE / IT,8.0 - 9.0,6 - 8 hours,More than 5 hours,1 - 2 times a week,Average,Less than 2 hours,"Exams and assignments, Attendance pressure, Lack of interest in course",2,2,"Talking to friends or family, Listening to music / watching content, Journaling or creative outlets",No,8,"Yes, very much",B.Tech,IIT
Male,2nd Yr,CSE / IT,8.0 - 9.0,4 - 6 hours,More than 5 hours,1 - 2 times a week,Average,Less than 2 hours,"Exams and assignments, Peer comparison / competition, Lack of interest in course",2,1,"Talking to friends or family, Listening to music / watching content, Sleeping it off, Ignoring/avoiding the issue",No,3,Somewhat,B.Tech,IIT
Male,2nd Yr,DSAI,Above 9.0,6 - 8 hours,1 - 3 hours,1 - 2 times a week,Average,2 - 4 hours,"Exams and assignments, Attendance pressure, Career and placement anxiety, Lack of interest in course",2,2,"Talking to friends or family, Exercise or sports, Ignoring/avoiding the issue","Yes, but I did not seek help",4,"No, not really",B.Tech,IIT
Male,2nd Yr,ECE,8.0 - 9.0,6 - 8 hours,3 - 5 hours,3 - 4 times a week,Average,More than 6 hours,"Attendance pressure, Career and placement anxiety, Lack of interest in course",2,1,"Listening to music / watching content, Exercise or sports, Sleeping it off","Yes, but I did not seek help",8,"No, not really",B.Tech,IIT
Male,2nd Yr,DSAI,8.0 - 9.0,6 - 8 hours,1 - 3 hours,Daily,Good,Less than 2 hours,Exams and assignments,2,2,"Listening to music / watching content, Exercise or sports, Ignoring/avoiding the issue",No,5,Somewhat,B.Tech,IIT
