Gender,Year,Branch,CGPA,Sleep_Hours,Screen_Time,Exercise_Freq,Diet_Quality,Study_Hours,Stress_Factors,GAD_Nervous,GAD_Irritable,Coping_Method,Counsellor_Need,Overall_Stress,College_Support,Programme,College Type
Female,2nd Yr,DSAI,Above 9.0,6 - 8 hours,1 - 3 hours,3 - 4 times a week,Good,2 - 4 hours,"Exams and assignments, Attendance pressure, Peer comparison / competition, Career and placement anxiety",3,2,"Talking to friends or family, Listening to music / watching content, Exercise or sports, Sleeping it off","Yes, but I did not seek help",5,I'm not aware of any support available,B.Tech,IIT
Female,2nd Yr,EE,8.0 - 9.0,More than 8 hours,More than 5 hours,1 - 2 times a week,Average,Less than 2 hours,"Career and placement anxiety, Lack of interest in course",1,1,"Talking to friends or family, Sleeping it off",No,2,"No, not really",B.Tech,IIT
Male,3rd Yr,DSAI,8.0 - 9.0,4 - 6 hours,More than 5 hours,1 - 2 times a week,Average,2 - 4 hours,"Exams and assignments, Career and placement anxiety",2,1,"Talking to friends or family, Listening to music / watching content, Exercise or sports",No,4,Somewhat,B.Tech,IIT
Male,2nd Yr,ECE,8.0 - 9.0,4 - 6 hours,More than 5 hours,Never,Poor,Less than 2 hours,"Exams and assignments, Peer comparison / competition, Career and placement anxiety, Family expectations",4,2,"Listening to music / watching content, Sleeping it off","Yes, but I did not seek help",8,"No, not really",B.Tech,IIT
Male,2nd Yr,ECE,7.0 - 8.0,6 - 8 hours,3 - 5 hours,1 - 2 times a week,Poor,Less than 2 hours,"Peer comparison / competition, Career and placement anxiety",2,1,"Talking to friends or family, Listening to music / watching content","Yes, but I did not seek help",5,"No, not really",B.Tech,IIT
Male,2nd Yr,CSE / IT,Above 9.0,6 - 8 hours,3 - 5 hours,Never,Average,Less than 2 hours,"Exams and assignments, Attendance pressure, Peer comparison / competition, Career and placement anxiety, Financial pressure, Family expectations, Lack of interest in course",2,3,"Talking to friends or family, Sleeping it off, Ignoring/avoiding the issue, Journaling or creative outlets","Yes, but I did not seek help",8,Somewhat,B.Tech,IIT
Male,1st Yr,EE,Above 9.0,6 - 8 hours,1 - 3 hours,3 - 4 times a week,Good,Less than 2 hours,"Exams and assignments, Attendance pressure, Career and placement anxiety",1,2,"Talking to friends or family, Exercise or sports, Sleeping it off, Ignoring/avoiding the issue",No,4,Somewhat,B.Tech,IIT
Male,2nd Yr,CSE / IT,8.0 - 9.0,6 - 8 hours,3 - 5 hours,1 - 2 times a week,Good,2 - 4 hours,"Peer comparison / competition, Career and placement anxiety",2,1,Listening to music / watching content,No,4,"No, not really",B.Tech,IIT
Male,1st Yr,ME,7.0 - 8.0,6 - 8 hours,1 - 3 hours,1 - 2 times a week,Average,2 - 4 hours,"Exams and assignments, Career and placement anxiety",1,1,"Talking to friends or family, Listening to music / watching content, Exercise or sports",No,5,"Yes, very much",B.Tech,IIT
Male,3rd Yr,Other,8.0 - 9.0,6 - 8 hours,More than 5 hours,Never,Average,Less than 2 hours,Financial pressure,1,2,"Talking to friends or family, Listening to music / watching content, Exercise or sports",No,3,"No, not really",B.Tech,IIT
Male,2nd Yr,DSAI,7.0 - 8.0,6 - 8 hours,More than 5 hours,Never,Very poor (mostly junk/irregular),4 - 6 hours,"Peer comparison / competition, Career and placement anxiety, Lack of interest in course",2,2,"Talking to friends or family, Listening to music / watching content, Sleeping it off",No,4,Somewhat,B.Tech,IIT
Male,1st Yr,DSAI,Above 9.0,4 - 6 hours,More than 5 hours,Never,Average,4 - 6 hours,Lack of interest in course,4,1,Sleeping it off,No,4,I'm not aware of any support available,B.Tech,IIT
Male,1st Yr,CSE / IT,8.0 - 9.0,4 - 6 hours,1 - 3 hours,1 - 2 times a week,Average,More than 6 hours,"Exams and assignments, Attendance pressure, Peer comparison / competition, Family expectations, Lack of interest in course",4,4,"Ignoring/avoiding the issue, don't have a coping mechanism","Yes, but I did not seek help",10,"No, not really",B.Tech,IIT
Male,1st Yr,DSAI,Above 9.0,6 - 8 hours,More than 5 hours,1 - 2 times a week,Average,Less than 2 hours,"Exams and assignments, Peer comparison / competition, Career and placement anxiety, Financial pressure, Family expectations, Lack of interest in course",4,2,"Talking to friends or family, Listening to music / watching content",No,7,"No, not really",B.Tech,IIT
Male,1st Yr,DSAI,Above 9.0,4 - 6 hours,More than 5 hours,1 - 2 times a week,Poor,Less than 2 hours,"Exams and assignments, Peer comparison / competition, Career and placement anxiety, Lack of interest in course",3,3,"Talking to friends or family, Listening to music / watching content, don't have a coping mechanism",No,10,I'm not aware of any support available,B.Tech,IIT
Male,1st Yr,ME,8.0 - 9.0,6 - 8 hours,More than 5 hours,1 - 2 times a week,Average,Less than 2 hours,Career and placement anxiety,1,2,Listening to music / watching content,No,5,Somewhat,B.Tech,IIT
Male,3rd Yr,DSAI,7.0 - 8.0,6 - 8 hours,More than 5 hours,1 - 2 times a week,Average,Less than 2 hours,"Exams and assignments, Attendance pressure, Peer comparison / competition, Career and placement anxiety, Financial pressure, Family expectations, Lack of interest in course",3,3,don't have a coping mechanism,"Yes, but I did not seek help",6,Somewhat,B.Tech,IIT
Male,1st Yr,ME,Above 9.0,More than 8 hours,3 - 5 hours,3 - 4 times a week,Average,Less than 2 hours,Career and placement anxiety,1,1,"Talking to friends or family, Listening to music / watching content, Sleeping it off",No,7,I'm not aware of any support available,B.Tech,IIT
Male,1st Yr,Other,7.0 - 8.0,4 - 6 hours,3 - 5 hours,3 - 4 times a week,Poor,2 - 4 hours,"Peer comparison / competition, Career and placement anxiety, Family expectations, Lack of interest in course",4,4,"Listening to music / watching content, Exercise or sports, don't have a coping mechanism","Yes, but I did not seek help",9,I'm not aware of any support available,B.Tech,IIT
Male,2nd Yr,EE,8.0 - 9.0,6 - 8 hours,1 - 3 hours,Daily,Average,2 - 4 hours,"Career and placement anxiety, Family expectations",1,4,Exercise or sports,"Yes, but I did not seek help",4,Somewhat,B.Tech,IIT
Male,1st Yr,Other,7.0 - 8.0,6 - 8 hours,More than 5 hours,3 - 4 times a week,Average,Less than 2 hours,Exams and assignments,1,1,don't have a coping mechanism,No,1,"Yes, very much",B.Tech,IIT
Male,2nd Yr,DSAI,8.0 - 9.0,6 - 8 hours,More than 5 hours,Never,Poor,Less than 2 hours,"Exams and assignments, Peer comparison / competition, Career and placement anxiety, Family expectations",2,2,"Talking to friends or family, Ignoring/avoiding the issue",No,7,Somewhat,B.Tech,IIT
Male,1st Yr,Other,Below 6.0,4 - 6 hours,1 - 3 hours,1 - 2 times a week,Average,Less than 2 hours,"Exams and assignments, Attendance pressure, Peer comparison / competition, Family expectations",3,3,"Listening to music / watching content, Ignoring/avoiding the issue",No,7,"No, not really",B.Tech,IIT
Male,1st Yr,CSE / IT,Above 9.0,More than 8 hours,3 - 5 hours,1 - 2 times a week,Average,More than 6 hours,"Exams and assignments, Career and placement anxiety, Lack of interest in course",2,3,"Talking to friends or family, Listening to music / watching content, Exercise or sports, Ignoring/avoiding the issue",No,5,I'm not aware of any support available,B.Tech,IIT
Male,1st Yr,ECE,7.0 - 8.0,6 - 8 hours,More than 5 hours,1 - 2 times a week,Good,Less than 2 hours,"Exams and assignments, Lack of interest in course",2,3,"Talking to friends or family, Listening to music / watching content, Sleeping it off","Yes, and I did seek help",5,I'm not aware of any support available,B.Tech,IIT
Female,1st Yr,CSE / IT,8.0 - 9.0,6 - 8 hours,1 - 3 hours,Daily,Very good (balanced meals),2 - 4 hours,"Peer comparison / competition, Financial pressure, Family expectations, Lack of interest in course",2,2,"Listening to music / watching content, Exercise or sports, Ignoring/avoiding the issue",No,4,Somewhat,B.Tech,IIT
Female,4th Yr,Other,Above 9.0,Less than 4 hours,More than 5 hours,Never,Very poor (mostly junk/irregular),More than 6 hours,"Attendance pressure, Career and placement anxiety",1,1,don't have a coping mechanism,"Yes, and I did seek help",10,I'm not aware of any support available,B.Tech,IIT
Male,2nd Yr,CSE / IT,8.0 - 9.0,4 - 6 hours,More than 5 hours,Daily,Average,Less than 2 hours,"Attendance pressure, Peer comparison / competition, Financial pressure, Family expectations, Lack of interest in course",4,4,"Talking to friends or family, Listening to music / watching content, Exercise or sports, Sleeping it off, Ignoring/avoiding the issue, don't have a coping mechanism",No,4,Somewhat,B.Tech,IIT
Male,2nd Yr,EE,8.0 - 9.0,6 - 8 hours,3 - 5 hours,3 - 4 times a week,Average,2 - 4 hours,"Exams and assignments, Peer comparison / competition, Career and placement anxiety",3,2,"Exercise or sports, Sleeping it off",No,7,Somewhat,B.Tech,IIT
Male,2nd Yr,Other,8.0 - 9.0,6 - 8 hours,1 - 3 hours,Daily,Good,2 - 4 hours,Exams and assignments,2,2,"Listening to music / watching content, Exercise or sports",No,3,Somewhat,B.Tech,IIT
Female,2nd Yr,EE,7.0 - 8.0,6 - 8 hours,3 - 5 hours,3 - 4 times a week,Good,2 - 4 hours,"Exams and assignments, Career and placement anxiety, Lack of interest in course",2,2,"Talking to friends or family, Listening to music / watching content, Exercise or sports, Sleeping it off, Journaling or creative outlets","Yes, but I did not seek help",6,"No, not really",B.Tech,IIT
Male,2nd Yr,DSAI,Above 9.0,6 - 8 hours,More than 5 hours,3 - 4 times a week,Average,Less than 2 hours,"Exams and assignments, Lack of interest in course",1,1,"Talking to friends or family, Listening to music / watching content, Exercise or sports, Sleeping it off, Ignoring/avoiding the issue",No,1,Somewhat,B.Tech,IIT
Male,2nd Yr,CSE / IT,7.0 - 8.0,More than 8 hours,1 - 3 hours,3 - 4 times a week,Good,Less than 2 hours,"Exams and assignments, Attendance pressure",2,1,Talking to friends or family,"Yes, but I did not seek help",2,Somewhat,B.Tech,IIT
Female,2nd Yr,EE,7.0 - 8.0,6 - 8 hours,1 - 3 hours,1 - 2 times a week,Average,Less than 2 hours,Exams and assignments,4,4,"Talking to friends or family, Listening to music / watching content",No,3,"Yes, very much",B.Tech,IIT
Female,2nd Yr,EE,8.0 - 9.0,6 - 8 hours,More than 5 hours,Never,Average,2 - 4 hours,"Exams and assignments, Peer comparison / competition, Career and placement anxiety, Family expectations, Lack of interest in course",3,2,"Listening to music / watching content, Journaling or creative outlets","Yes, and I did seek help",10,Somewhat,B.Tech,IIT
Male,2nd Yr,EE,7.0 - 8.0,4 - 6 hours,3 - 5 hours,1 - 2 times a week,Average,2 - 4 hours,"Exams and assignments, Peer comparison / competition, Family expectations",2,2,Ignoring/avoiding the issue,No,8,Somewhat,B.Tech,IIT
Male,1st Yr,CSE / IT,8.0 - 9.0,4 - 6 hours,3 - 5 hours,3 - 4 times a week,Average,Less than 2 hours,"Peer comparison / competition, Career and placement anxiety, Family expectations",2,2,"Talking to friends or family, Listening to music / watching content, Exercise or sports","Yes, but I did not seek help",5,"No, not really",B.Tech,IIT
Male,2nd Yr,EE,Above 9.0,6 - 8 hours,3 - 5 hours,Daily,Good,4 - 6 hours,"Exams and assignments, Career and placement anxiety",2,2,"Talking to friends or family, Ignoring/avoiding the issue",No,4,Somewhat,B.Tech,IIT
Female,2nd Yr,CSE / IT,7.0 - 8.0,More than 8 hours,1 - 3 hours,1 - 2 times a week,Poor,2 - 4 hours,"Exams and assignments, Peer comparison / competition, Career and placement anxiety, Financial pressure",3,3,"Talking to friends or family, Listening to music / watching content, Sleeping it off",No,9,"No, not really",B.Tech,IIT
Female,2nd Yr,EE,7.0 - 8.0,More than 8 hours,3 - 5 hours,1 - 2 times a week,Average,2 - 4 hours,"Exams and assignments, Career and placement anxiety, Lack of interest in course",2,3,"Talking to friends or family, Listening to music / watching content, Sleeping it off","Yes, but I did not seek help",7,Somewhat,B.Tech,IIT
Male,2nd Yr,ME,7.0 - 8.0,6 - 8 hours,More than 5 hours,3 - 4 times a week,Average,More than 6 hours,"Career and placement anxiety, Financial pressure, Family expectations",3,2,"Listening to music / watching content, Exercise or sports, Sleeping it off","Yes, but I did not seek help",6,,M.Tech,IIT
Male,2nd Yr,ME,6.0 - 7.0,6 - 8 hours,3 - 5 hours,1 - 2 times a week,Average,4 - 6 hours,Career and placement anxiety,3,3,don't have a coping mechanism,"Yes, and I did seek help",8,,M.Tech,IIT
Female,2nd Yr,CSE / IT,7.0 - 8.0,4 - 6 hours,More than 5 hours,Never,Very poor (mostly junk/irregular),Less than 2 hours,"Exams and assignments, Attendance pressure, Peer comparison / competition, Career and placement anxiety, Family expectations, Lack of interest in course",4,4,"Talking to friends or family, Listening to music / watching content, Sleeping it off, Ignoring/avoiding the issue","Yes, and I did seek help",10,,B.Tech,Private
Female,2nd Yr,CSE / IT,8.0 - 9.0,6 - 8 hours,Less than 1 hour,1 - 2 times a week,Average,2 - 4 hours,"Exams and assignments, Attendance pressure, Career and placement anxiety, Family expectations, Lack of interest in course",3,1,"Listening to music / watching content, Sleeping it off, Ignoring/avoiding the issue",No,7,,B.Tech,Private
Male,2nd Yr,ME,6.0 - 7.0,6 - 8 hours,More than 5 hours,Daily,Average,4 - 6 hours,Career and placement anxiety,1,2,Journaling or creative outlets,No,1,,M.Tech,IIT
Male,2nd Yr,Other,8.0 - 9.0,6 - 8 hours,3 - 5 hours,1 - 2 times a week,Very poor (mostly junk/irregular),2 - 4 hours,"Exams and assignments, Attendance pressure",1,3,"Talking to friends or family, Listening to music / watching content",No,7,,Other,Govt. (Other than IIT and NIT)
Male,2nd Yr,ME,6.0 - 7.0,4 - 6 hours,1 - 3 hours,3 - 4 times a week,Average,4 - 6 hours,"Peer comparison / competition, Career and placement anxiety, Family expectations, Lack of interest in course",2,3,"Talking to friends or family, Listening to music / watching content, Exercise or sports, Ignoring/avoiding the issue","Yes, but I did not seek help",8,,M.Tech,IIT
Male,2nd Yr,Other,Above 9.0,6 - 8 hours,More than 5 hours,1 - 2 times a week,Poor,Less than 2 hours,Exams and assignments,1,1,Listening to music / watching content,No,1,,M.Sc,IIT
Female,2nd Yr,Other,7.0 - 8.0,4 - 6 hours,1 - 3 hours,1 - 2 times a week,Poor,2 - 4 hours,"Exams and assignments, Peer comparison / competition",2,2,"Talking to friends or family, Sleeping it off",No,6,,Other,Govt. (Other than IIT and NIT)
Female,1st Yr,DSAI,7.0 - 8.0,6 - 8 hours,1 - 3 hours,Daily,Very good (balanced meals),2 - 4 hours,Peer comparison / competition,2,3,"Listening to music / watching content, Sleeping it off",No,4,,Other,IIT
Female,1st Yr,Other,7.0 - 8.0,6 - 8 hours,1 - 3 hours,Daily,Average,More than 6 hours,"Exams and assignments, Peer comparison / competition, Career and placement anxiety, Family expectations",4,4,"Talking to friends or family, Listening to music / watching content, Sleeping it off","Yes, but I did not seek help",9,,Other,Private
Male,2nd Yr,CSE / IT,8.0 - 9.0,More than 8 hours,3 - 5 hours,1 - 2 times a week,Poor,Less than 2 hours,"Peer comparison / competition, Career and placement anxiety",2,2,"Talking to friends or family, Listening to music / watching content, Exercise or sports, Sleeping it off, Ignoring/avoiding the issue, Journaling or creative outlets",No,3,,B.Tech,Private
Female,2nd Yr,CSE / IT,6.0 - 7.0,4 - 6 hours,1 - 3 hours,1 - 2 times a week,Poor,2 - 4 hours,"Attendance pressure, Peer comparison / competition, Career and placement anxiety",2,2,"Listening to music / watching content, Exercise or sports, Sleeping it off","Yes, but I did not seek help",6,,B.Tech,IIT
Female,2nd Yr,DSAI,7.0 - 8.0,6 - 8 hours,More than 5 hours,1 - 2 times a week,Poor,Less than 2 hours,"Peer comparison / competition, Family expectations",3,3,"Talking to friends or family, Listening to music / watching content, Ignoring/avoiding the issue","Yes, and I did seek help",5,,B.Tech,IIT
